Key,Date,From,To,Teams Involved,Player Trade,Rights/Pick Trade
2000-09-20_Knicks_Lakers_Sonics_Suns=Chris Dudley+Vladimir Stepania,2000-09-20,Vladimir Stepania,Chris Dudley,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,False
2000-09-20_Knicks_Lakers_Sonics_Suns=Jason Collins+Vladimir Stepania,2000-09-20,Vladimir Stepania,Jason Collins,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Lazaro Borrell+Patrick Ewing Sr.,2000-09-20,Lazaro Borrell,Patrick Ewing Sr.,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,False
2000-09-20_Knicks_Lakers_Sonics_Suns=Chris Dudley+Lazaro Borrell,2000-09-20,Lazaro Borrell,Chris Dudley,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,False
2000-09-20_Knicks_Lakers_Sonics_Suns=Jason Collins+Lazaro Borrell,2000-09-20,Lazaro Borrell,Jason Collins,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Jamaal Tinsley+Patrick Ewing Sr.,2000-09-20,Jamaal Tinsley,Patrick Ewing Sr.,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Chris Dudley+Jamaal Tinsley,2000-09-20,Jamaal Tinsley,Chris Dudley,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Jamaal Tinsley+Jason Collins,2000-09-20,Jamaal Tinsley,Jason Collins,"['Suns', 'Knicks', 'Lakers', 'Sonics']",False,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Michael Wright+Patrick Ewing Sr.,2000-09-20,Michael Wright,Patrick Ewing Sr.,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Chris Dudley+Michael Wright,2000-09-20,Michael Wright,Chris Dudley,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Jason Collins+Michael Wright,2000-09-20,Michael Wright,Jason Collins,"['Suns', 'Knicks', 'Lakers', 'Sonics']",False,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Eric Chenowith+Patrick Ewing Sr.,2000-09-20,Eric Chenowith,Patrick Ewing Sr.,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Chris Dudley+Eric Chenowith,2000-09-20,Eric Chenowith,Chris Dudley,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Eric Chenowith+Jason Collins,2000-09-20,Eric Chenowith,Jason Collins,"['Suns', 'Knicks', 'Lakers', 'Sonics']",False,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Kareem Rush+Patrick Ewing Sr.,2000-09-20,Kareem Rush,Patrick Ewing Sr.,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Chris Dudley+Kareem Rush,2000-09-20,Kareem Rush,Chris Dudley,"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Jason Collins+Kareem Rush,2000-09-20,Kareem Rush,Jason Collins,"['Suns', 'Knicks', 'Lakers', 'Sonics']",False,True
2000-09-20_Knicks_Lakers_Sonics_Suns=Glen Rice (Sr.)+Horace Grant,2000-09-20,Horace Grant,Glen Rice (Sr.),"['Suns', 'Knicks', 'Lakers', 'Sonics']",True,False
